brand_name,final_price,id,msrp_price,name,regular_price,url_key
Salvatore Ferragamo,59.99,574353.0,59.99,Salvatore Ferragamo Brown Rectangular Ladies Sunglasses SF608SA 210 59,59.99,ferragamo-brown-rectangular-ladies-sunglasses-sf608sa-210-59
Armani Exchange,49.99,718694.0,49.99,Armani Exchange Grey Square Men's Sunglasses AX4070SF 815881 58,49.99,armani-exchange-grey-square-mens-sunglasses-ax4070sf-815881-58
Prada,119.99,757745.0,119.99,Prada Brown Gradient Grey Butterfly Ladies Sunglasses 0PR 09WS 05M3D054,119.99,prada-brown-gradient-grey-butterfly-ladies-sunglasses-0pr-09ws-05m3d054
Tom Ford,189.99,718716.0,189.99,Tom Ford Blue Square Sunglasses FT0833 92V 54,189.99,tom-ford-blue-square-sunglasses-ft0833-92v-54
Burberry,94.99,755871.0,94.99,Burberry Ellis Polar Grey Square Men's Sunglasses 0BE4329 37578153,94.99,burberry-ellis-polar-grey-square-mens-sunglasses-0be4329-37578153
Bvlgari,189.99,721022.0,189.99,Bvlgari Grey Gradient Geometric Ladies Sunglasses B8221B 501T3 53,189.99,bvlgari-grey-gradient-geometric-ladies-sunglasses-b8221b-501t3-53
Prada,94.99,618100.0,94.99,Prada Grey Cat Eye Ladies Sunglasses PR 02VSF 1AB5S0 54,94.99,prada-grey-cat-eye-ladies-sunglasses-pr-02vsf-1ab5s0-54
Chloe,63.99,620477.0,63.99,Chloe Orange Rectangular Sunglasses CE146S 831 53,63.99,chloe-orange-rectangular-sunglasses-ce146s-831-53
Calvin Klein,29.99,562263.0,29.99,Calvin Klein Men's Green Square Sunglasses CK18504S 310 59,29.99,calvin-klein-mens-green-square-sunglasses-ck18504s-310-59
Rag And Bone,59.99,722414.0,59.99,Rag and Bone Brown Sunglasses RNB1024/S 01Q 70 48,59.99,rag-and-bone-brown-sunglasses-rnb1024-s-01q-70-48
Versace,69.99,705661.0,69.99,Versace Brown Aviator Men's Sunglasses VE4299 10873 58,69.99,versace-brown-aviator-mens-sunglasses-ve4299-10873-58
Chloe,62.99,299767.0,62.99,Chloe Grey Gradient Round Sunglasses CE720S 001 56,62.99,chloe-sunglasses-ce720s-001-56
Montblanc,179.99,621477.0,179.99,Montblanc Brown Aviator Men's Sunglasses MB0026S-00359,179.99,montblanc-brown-aviator-mens-sunglasses-mb0026s-00359
Jimmy Choo,99.99,545455.0,99.99,Jimmy Choo Brown SS Gold Round Ladies Sunglasses NEVA/F/S BKU 60,99.99,jimmy-choo-brown-ss-gold-round-ladies-sunglasses-neva-f-s-bku-60
Ermenegildo Zegna,79.99,712677.0,79.99,Ermenegildo Zegna Men's Gunmetal Square Sunglasses EZ007908C59,79.99,ermenegildo-zegna-mens-gunmetal-square-sunglasses-ez007908c59
Tom Ford,129.99,720865.0,129.99,Tom Ford Gradient Blue Oval Ladies Sunglasses FT0532 01W,129.99,tom-ford-gradient-blue-oval-ladies-sunglasses-ft0532-01w
Saint Laurent,163.99,654854.0,163.99,Saint Laurent Brown Cat Eye Ladies Sunglasses SL215GRACE-30002633008,163.99,saint-laurent-brown-cat-eye-ladies-sunglasses-sl215grace-30002633008
Ermenegildo Zegna,79.99,495909.0,79.99,Ermenegildo Zegna Dark Havana Oval Men's Sunglasses EZ0029-N 52J 51,79.99,ermenegildo-zegna-ez0029-n-52j-51
Emporio Armani,49.99,406737.0,49.99,Emporio Armani Blue Havana Asian Fit Sunglasses EA4126F 572887 51,49.99,emporio-armani-0ea4126f57288751
Dior,80.99,483957.0,80.99,Dior New Motard Gray Sf Gold Sp Cat Eye Ladies Sunglasses DIORNEWMOTARD 0010 65,80.99,dior-sunglasses-diornewmotard-0010-65
Jimmy Choo,129.99,715522.0,129.99,Jimmy Choo Square Men's Sunglasses KEVIN/S RIW 54 22 150,129.99,jimmy-choo-square-mens-sunglasses-kevin-s-riw-54-22-150
Tom Ford,279.99,718737.0,279.99,Tom Ford Blue Light Blocking Aviator Men's Sunglasses FT5658-B 018 56,279.99,tom-ford-aviator-mens-sunglasses-ft5658-b-018-56
Saint Laurent,179.99,725040.0,179.99,Saint Laurent Grey Round Unisex Sunglasses SL 401-002 51,179.99,saint-laurent-grey-round-unisex-sunglasses-sl-401-002-51
Chloe,139.99,708836.0,139.99,Chloe Purple Rose Hexagonal Ladies Sunglasses CE132S 870 58,139.99,chloe-purple-rose-hexagonal-ladies-sunglasses-ce132s-870-58
Jimmy Choo,79.92,676139.0,79.92,Jimmy Choo Pink Gradient Oversized Ladies Sunglasses SAMMI/G/S-08CQ-55,79.92,jimmy-choo-pink-gradient-oversized-ladies-sunglasses-sammi-g-s-08cq-55
Roberto Cavalli,80.99,648426.0,80.99,Roberto Cavalli Grey Round Sunglasses RC1137 33C 58,80.99,roberto-cavalli-grey-round-sunglasses-rc1137-33c-58
Fendi,99.99,588102.0,99.99,Fendi Rainbow Aviator Men's Sunglasses FF M0056/S SDK,99.99,fendi-rainbow-aviator-mens-sunglasses-ff-m0056-s-sdk
Tom Ford,119.99,686386.0,119.99,Tom Ford Brown Gradient Cat Eye Ladies Sunglasses FT0770 52F 70,119.99,tom-ford-brown-gradient-cat-eye-ladies-sunglasses-ft0770-52f-70
Givenchy,99.99,696320.0,99.99,Givenchy Brown Gradient Oval Ladies Sunglasses GV 7161/G/S 02IK 57,99.99,givenchy-brown-gradient-oval-ladies-sunglasses-gv-7161-g-s-02ik-57
